C00000729|03212017|313|16|6082
C00000729|03232017|500|2|1000
C00000729|03262017|500|34|19000
C00000729|03272017|500|46|25500
C00000729|04052017|375|2|750
C00000729|04062017|100|2|200
C00000729|04102017|1000|2|2000
C00000729|04112017|1000|2|2000
C00000729|04122017|250|30|14450
C00000729|04132017|1000|4|4000
C00000729|04202017|250|14|3164
C00000729|04212017|250|14|2832
C00000729|04232017|125|10|1750
C00000729|04242017|250|2|500
C00000729|04302017|500|2|1000
C00000729|05042017|100|2|200
C00000729|05102017|250|2|500
C00000729|05212017|83|6|498
C00000729|05222017|41|2|82
C00000729|05242017|41|2|82
C00000729|05302017|250|10|4000
C00000729|06022017|250|2|500
C00000729|06052017|250|2|500
C00000729|06062017|500|2|1000
C00000729|06072017|250|2|500
C00000729|06092017|250|2|500
C00000729|06172017|250|2|500
C00000729|06202017|83|2|166
C00000729|06212017|250|18|3914
C00000729|06222017|46|4|182
C00000729|06242017|41|2|82
C00000729|06272017|250|4|1000
C00000729|07132017|500|2|1000
C00000729|07142017|250|2|500
C00000729|07152017|500|6|3500
C00000729|07162017|250|2|500
C00000729|07182017|750|4|3000
C00000729|07192017|250|6|1500
C00000729|07202017|250|10|2832
C00000729|07212017|250|14|2414
C00000729|07222017|1000|18|19000
C00000729|07232017|188|12|3582
C00000729|07242017|146|4|582
C00000729|07252017|1000|8|8000
C00000729|07262017|750|4|3000
C00000729|07302017|250|2|500
C00000729|07312017|1000|6|5000
C00000729|08042017|1000|2|2000
C00000729|08072017|625|4|2500
C00000729|08112017|500|2|1000
C00000729|08142017|250|10|4500
C00000729|08162017|250|4|1000
C00000729|08172017|250|2|500
C00000729|08182017|1000|28|24500
C00000729|08192017|625|8|5000
C00000729|08212017|83|2|166
C00000729|08222017|521|4|2082
C00000729|08242017|146|4|582
C00000729|08272017|1000|2|2000
C00000729|08282017|250|38|17582
C00000729|08292017|500|52|28000
C00000729|08312017|500|10|6500
C00000729|09012017|250|2|500
C00000729|09062017|250|2|500
